,PLAYER NAME,TEAM NAME,PLAYER POSITION,2019 CAR,2019 RUSH YDS,2019 RUSH AVG,2019 RUSH TD,2019 REC,2019 REC YDS,2019 REC TDS,2019 FPTS,2020 CAR,2020 RUSH YARDS,2020 RUSH AVG,2020 RUSH TD,2020 REC,2020 REC YDS,2020 REC TD,2020 FPTS,Player OUTLOOK
11,Nick Chubb,Browns,RB,298,1494,5,8,36,278,0,255.2,270,1267,4.7,9,27,210,1,234.96,"Chubb has emerged as one of the league's most-effective rushers since being selected in the second round of the 2018 draft. He ranks first in YPC (5.1) and second in YAC (2.3) among 25 backs with at least 300 carries during that span. Chubb was fantasy's No. 8 scoring back in 2019, thanks to the fourth-most touches and second-most total yardage at the position. However, we can't ignore that Chubb's usage and fantasy production dipped once Kareem Hunt returned from suspension (RB6 before, RB15 after). Hunt will be in the mix from the get-go in 2020, which will certainly limit Chubb's output. Consider Chubb a borderline top-10 RB with more value in non-PPR leagues."
12,Josh Jacobs,Raiders,RB,242,1150,4.8,7,20,166,0,191.6,256,1114,4.4,8,36,278,1,232.81,"Jacobs returns as the feature back for the Raiders following an extremely impressive rookie campaign. The 2019 first-round pick averaged a healthy 4.75 YPC on 242 attempts and ranked fourth among backs with a 2.25 YAC. Jacobs flashed with four top-10 fantasy weeks but missed three games because of injury, and his output was capped by a limited role as a receiver (27 targets). Coach Jon Gruden has consistently expressed a desire to target Jacobs more often, which adds some optimism that Jacobs can become a workhorse back. Of course, until that actually happens, the 22-year-old is best valued as a fringe top-12 fantasy back."
13,Joe Mixon,Bengals,RB,278,1137,4.1,5,35,287,3,225.4,269,1148,4.3,6,38,293,1,228.77,"Mixon enters his fourth NFL season as the clear feature back in Cincinnati. The role has allowed Mixon a top-seven finish in touches, top-11 finish in yards and eight-plus touchdowns each of the past two seasons. Despite the heavy usage, a limited role as a pass-catcher has left Mixon with fantasy finishes of 10th and 13th during that span. Mixon is one of the game's better talents at the position, but the Cincinnati offensive line remains a work in progress and his target share is unlikely to see a significant boost with A.J. Green back, Tee Higgins drafted and Giovani Bernard still in the fold. Consider Mixon a borderline top-10 RB."
14,Chris Carson,Seahawks,RB,278,1230,4.4,7,37,266,2,232.6,249,1078,4.3,7,36,270,2,221.38,"Carson put together another solid season as Seattle's lead back in 2019 and returns atop the depth chart for 2020. The 2017 seventh-round pick has missed a total of three games over the past two seasons but finished fifth in rushing yards during both campaigns. Carson has been of value near the goal line (18 touchdowns) and in terms of efficiency (2.26 YAC is fourth best) during that span. Seattle ramped up Carson's passing-game workload last season, which gives him a better shot at his third-consecutive top-15 fantasy campaign, but the 25-year-old will need to fend off Rashaad Penny and rookie DeeJay Dallas for snaps. Consider Carson a fine RB2 target."
15,Todd Gurley II,Falcons,RB,223,857,3.8,12,31,207,2,219.4,211,856,4.1,7,45,373,2,221.22,"Gurley is now the lead back in Atlanta following five seasons with the Rams. The Georgia product was a top-three fantasy RB in both 2017 and 2018, but he handled a lesser workload and struggled badly with efficiency in 2019 while dealing with knee and ankle concerns. After averaging 4.89 YPC (2.11 YAC) on 256 carries and 7.4 yards per target on 78 targets in 14 games in 2018, Gurley's numbers plummeted to 3.84 YPC (1.81 YAC) on 223 carries and 4.2 YPT on 49 targets in 15 games last season. Gurley still managed a 14th-place finish in fantasy points (his fifth top-15 in as many tries), thanks to 14 touchdowns. Gurley's durability is a big concern, but he has little competition for touches in a good offense. He's a fine RB2 target."
16,David Johnson,Texans,RB,94,345,3.7,2,36,370,4,141.5,230,932,4,6,39,374,3,220.27,"Johnson was one of the league's best backs during his first two seasons, but struggles with injuries and efficiency led to a benching last season and was followed by an offseason trade to Houston. The 28-year-old is well-positioned for a rebound campaign with passing-down specialist Duke Johnson as his only competition for touches. The question is: Is he up for it? Johnson averaged an ugly 3.6 YPC and 1.4 YAC during the past three seasons. He remains an effective receiver but figures to focus primarily on rushing the ball with Duke Johnson in the picture. Johnson can't be counted on as an elite fantasy asset, but he has a path to enough volume to allow midrange RB2 production."
17,Leonard Fournette,Jaguars,RB,265,1152,4.3,3,76,522,0,259.4,214,880,4.1,5,55,403,1,218.61,"Fournette finally lived up to his first-round pedigree during a breakout 2019 season and locked himself in as one of the league's rare workhorse running backs. During 15 active weeks, Fournette played 88% of the snaps, handling 87% of the carries and 19% of the targets. Fournette finished no lower than seventh among backs in carries, targets, receptions, touches, yards and fantasy points. Fournette's season would've been even more impressive had it not been for some atrocious touchdown luck. Despite a healthy 9.3 OTD (10th highest), Fournette scored three touchdowns. Expect another huge workload, coupled with regression to the mean in the scoring department, to lead to another borderline RB1 campaign for the 25-year-old contract-year back."
18,Le'Veon Bell,Jets,RB,245,789,3.2,3,66,461,1,215,215,854,4,4,55,404,2,212.28,"Despite a healthy dose of turmoil during the 2019 season, Bell is back as the Jets' feature back. Bell's first season in New York saw him rank no lower than 11th among backs in carries, targets, receptions and receiving yards. However, Bell ended up just 16th among backs in fantasy points, due to a low touchdown total (four) and horrific efficiency (3.2 YPC, 5.9 YPT). Bell's heavy volume allowed him a high floor (double-digit points all but one week), but he no longer has an elite ceiling (one weekly finish better than ninth). Bell is now 28 years old and hasn't appeared in 16 regular-season games since 2014. He's no longer an RB1, though an improved Jets offensive line helps his 2020 prospects."
19,Melvin Gordon,Broncos,RB,162,612,3.8,8,42,296,1,180.8,180,722,4,6,46,361,2,201.44,"Gordon signed on as the Broncos' new lead back, following five seasons with the Chargers. Gordon is fresh off a season when he held out for a month before posting 162-612-8 rushing and 42-296-1 receiving lines. That was enough for the 12th-most fantasy points during that span. Gordon entered 2019 having finished the previous three seasons no lower than ninth in scrimmage yards, sixth in touchdowns and eighth in fantasy points among backs. In Denver's run-heavy offense, Gordon figures to share a chunk of the carries with Phillip Lindsay, but his bigger frame should garner him more goal-line work, and he's also the superior receiver. Gordon is a mid-to-back end RB2."
21,Kareem Hunt,Browns,RB,43,179,4.2,2,37,285,1,101.4,86,387,4.5,3,56,495,3,180.52,"Hunt returns to Cleveland, where he'll operate as a change-of-pace rusher and primary receiving back behind Nick Chubb. Hunt was, of course, one of fantasy's top backs prior to off-field issues leading to roughly one year out of the league. He returned in Week 10 last season and played a substantial role from that point on. Hunt was on the field for 60% of the snaps, handling 5.4 carries and 5.5 targets per game. Hunt was fantasy's No. 17 RB during the stretch and trailed Chubb by only three fantasy points during that span. Chubb will continue to handle most of the carries and goal-line work, but Hunt's role allows him standalone value, not to mention that he's arguably the most valuable handcuff in fantasy."
22,James Conner,Steelers,RB,116,464,4,4,34,251,3,145.5,170,721,4.2,6,37,285,1,180.49,"Conner returns as the lead back in Pittsburgh, but durability has become a significant concern for a player who has missed at least two games in each of his three NFL seasons. Despite missing three games in 2018, Conner broke out with 1,462 yards and 13 TDs on 269 touches en route to finishing sixth among running backs in fantasy points. He sat ninth at the position through Week 8 last season, but injuries limited him to 54 snaps the rest of the season. A return to full health by Conner and Ben Roethlisberger very well could lead to a bounce-back campaign for the 25-year-old, though he'll need to fend off Benny Snell Jr., Jaylen Samuels and rookie Anthony McFarland Jr. for touches. Consider Conner a flex option."
24,Devin Singletary,Bills,RB,151,775,5.1,2,29,194,2,147.9,176,798,4.5,3,41,320,1,175.75,"An injury may have limited Singletary's early-season contributions during his rookie campaign, but the 2019 third-round pick quickly overtook Frank Gore upon his return. During Weeks 8-16, Singletary handled a generous 14.9 carries and 4.0 targets per game. He was held to three touchdowns but was ninth among RBs in scrimmage yards, while playing 74% of the snaps during that span. Though he struggled after contact, Singletary's 5.1 YPC was sixth best among backs. Singletary is expected to work as the lead back again this season, but his 5-foot-7, 203-pound frame will limit his volume. Expect rookie Zack Moss to be heavily involved, along with Josh Allen, at the goal line. Singletary may struggle to clear a half-dozen touchdowns but will get enough work to flirt with top-20 production."
26,Tarik Cohen,Bears,RB,64,213,3.3,0,79,456,3,163.9,69,292,4.2,1,72,511,2,173.73,"Cohen returns as Chicago's change-of-pace and extremely-busy receiving back. Believe it or not, Cohen ranks fourth among backs in both targets (261) and receptions (203) since entering the NFL in 2017. Cohen's 190-pound frame has limited him to no more than 99 carries in a single season and a grand total of four carries inside the 5-yard line. However, 70-plus catches each of the past two seasons has helped him to fantasy finishes of 11th in 2018 and 27th in 2019. Cohen's efficiency was extremely poor last season (3.3 YPC, 4.4 YPT), and he'll remain limited as a rusher and at the goal line, but his role isn't expected to change in 2020, which locks him into the PPR flex discussion."
27,David Montgomery,Bears,RB,242,889,3.7,6,25,185,1,170.4,213,853,4,6,26,217,1,172.15,"Montgomery's rookie season didn't go as planned, but the 2019 third-round pick remains atop the Chicago depth chart. The Iowa State product wasn't short on volume in his first season, ranking 12th among backs in touches and sixth in carries inside the 5 (14). The problem was a combination of poor rushing efficiency (3.7 YPC, 1.6 YAC) and a lack of volume and effectiveness as a pass-catcher (185 yards on 37 targets). The end result was two top-15 fantasy weeks and a 24th-place finish by season's end. Montgomery will continue to defer passing-down work to Tarik Cohen but is certainly a breakout candidate in his second season. Montgomery is a flex option with RB2 upside."
28,Mark Ingram II,Ravens,RB,202,1018,5,10,26,247,5,242.5,159,737,4.6,7,23,184,1,162.4,"Volume is king in fantasy football, but Ingram did his best to be the exception to that rule during his first season as Baltimore's lead back. Despite handling only 37% of the team's carries and 7% of the targets, Ingram was fantasy's No. 11 scoring RB, thanks to the Ravens' high-scoring offense. Ingram ranked 22nd in touches and 15th in scrimmage yards, but his 15 touchdowns ranked fourth. An injury-plagued 2018 season aside, Ingram has been a top-15 fantasy RB each season since 2014. Despite the positivity, it will be hard to count on a repeat from Ingram in 2020. He's now 30, which means his volume is unlikely to rise (especially with J.K. Dobbins now in the mix), he plays a minimal role as a receiver and the Baltimore offense figures to regress in scoring. Ingram is a fringe RB2 with a low ceiling."
30,Kerryon Johnson,Lions,RB,113,403,3.6,3,10,127,1,85,172,694,4,6,26,215,1,157.33,"Johnson enters his third NFL season no longer a clear feature back after Detroit drafted D'Andre Swift in the second round. Johnson impressed as a second-round rookie in 2018, averaging 5.4 YPC and catching 84% of his targets, but missed six games. During another injury-plagued campaign in 2019, his receiving workload and rushing efficiency took a hard hit (3.6 YPC) in eight games as Detroit's primary rusher, though he was providing RB2 production prior to a Week 7 injury. Johnson is only 23 years old, but the presence of the more-dynamic Swift is sure to limit his touches. Consider Johnson a flex with limited upside."
31,Ronald Jones II,Buccaneers,RB,172,724,4.2,6,31,309,0,166.3,174,721,4.2,5,28,216,1,157.05,"Following what was a disastrous rookie season in 2018, Jones added weight and got his career back on track with an impressive showing in 2019. After totaling 77 yards on 30 touches in 2018, Jones produced 1,003 yards and six touchdowns on 203 touches last season. Despite his second-round pedigree and superior play relative to his counterparts in the Tampa Bay backfield, Jones was limited to only 37% of the snaps and 47% of the designed runs. It's very possible we've yet to see the best of Jones, as he was drafted very young and is entering his age-23 season. In fact, he's three months younger than his new competition for targets, third-round pick Ke'Shawn Vaughn. Jones is a fine flex target with more value in non-PPR leagues."
32,Jordan Howard,Dolphins,RB,119,525,4.4,6,10,69,1,111.4,174,747,4.3,6,25,187,1,156.51,"Howard signed with the Dolphins following four seasons with Chicago and Philadelphia. The 2016 fifth-round pick has racked up 3,895 rushing yards in his four pro seasons, which trails only the totals of Ezekiel Elliott and Todd Gurley for most during that span. Howard is obviously a very effective rusher but has struggled as a receiver, averaging an ugly 5.4 yards per play on 119 career targets. A top-20 fantasy back during his first three seasons, Howard might struggle to get back to that territory as he operates as an early-down and goal-line complement to Matt Breida in Miami. The 25-year-old hammer is a borderline flex option in non-PPR leagues."
33,Derrius Guice,FA,RB,42,245,5.8,2,7,79,1,57.4,142,604,4.2,5,34,278,1,156.5,"Guice is entering his third NFL season but has only five games of experience due to multiple knee injuries. The 2018 second-round pick missed his entire rookie season with a torn ACL prior to showing fairly well with 324 yards and a pair of scores on 49 touches last season (5.8 YPC, 7.9 YPT). A healthy Guice figures to get the first shot at leading the Washington backfield, but Adrian Peterson, Antonio Gibson, Peyton Barber, J.D. McKissic and former Stanford star Bryce Love are also on the roster. Guice is only 23 years old and has massive upside, but he's a risky investment. He's best viewed as a borderline flex."
34,Raheem Mostert,49ers,RB,137,772,5.6,8,14,180,2,165.2,159,741,4.7,7,18,159,1,155.87,"It's not often you see a running back break out in his fifth NFL campaign, but Mostert did exactly that down the stretch last season. Primarily a special-teams player throughout his career, Mostert put up 859 yards and scored 13 touchdowns on 133 touches during the 49ers' final nine games of 2019 (including the playoffs). An extremely efficient runner, Mostert is averaging 6.0 YPC on 178 regular-season carries for his career, which is easily best among 188 RBs with 150-plus carries. The concerns here are that Mostert plays a minimal pass-catching role (22 targets last season) and Kyle Shanahan is very unpredictable with his backfield rotation. As such, Mostert is best viewed as a flex with RB2 upside."
35,James White,Patriots,RB,67,263,3.9,1,72,645,5,200.2,59,252,4.3,2,54,487,3,155.59,"White has finished as a top-20 fantasy RB each of the past two seasons, but he's a bit of a wild card now that old reliable Tom Brady is out of the picture. We can't bank on carries from White (he has never cleared 94 in a single season), but he has ranked no lower than sixth among backs in targets, catches, receiving yards and touchdown receptions each of the past two seasons. White is a strong bet to remain New England's primary passing-down back, but we can't assume Cam Newton or Jarrett Stidham will target him as often, and the safe bet would be to expect less scoring and a more run-heavy approach from the Patriots' offense. White still has PPR value, but he's more of a fringe flex with a limited ceiling."
36,Phillip Lindsay,Broncos,RB,224,1011,4.5,7,35,196,0,197.7,164,731,4.5,4,31,206,1,154.66,"Lindsay is back in Denver for his third NFL season, but the team's former lead back now figures to settle in as an oft-used change-of-pace runner behind newcomer Melvin Gordon. It's not often you get immediate production from an undrafted player, but Lindsay has produced a pair of 1,000-yard rushing seasons since Denver signed him after the 2018 draft. Lindsay has certainly flashed as a rusher (4.9 career YPC), but he has struggled to produce after contact (1.6 YAC) and as a receiver (4.5 YPT), which explains the team's interest in Gordon. Lindsay's reduced role means he likely won't post his third consecutive top-20 fantasy season, but the 26-year-old is on the flex radar, especially in non-PPR leagues."
38,Darrell Henderson Jr.,Rams,RB,39,147,3.8,0,4,37,0,22.4,127,525,4.1,4,35,291,1,147.7,"Henderson will get a shot at earning lead-back duties in the Rams' backfield this season following the release of Todd Gurley. Henderson was initially expected to play a significant change-of-pace role behind Gurley last season but instead was limited to 39 carries and six targets on 89 snaps. The Rams selected Henderson in the third round of the 2019 draft after he averaged 8.9 YPC (seriously!) on 344 carries during his final two seasons at Memphis. Henderson has tremendous upside as a rusher, and his passing-down chops make him a candidate for weekly PPR value, but he'll be hard-pressed to separate himself from rookie Cam Akers (and perhaps Malcolm Brown) as the team's clear feature back. Nonetheless, Henderson is a second-year breakout candidate and borderline flex option."
39,Boston Scott,Eagles,RB,61,245,4,5,24,204,0,96.9,126,524,4.2,6,31,229,1,146.98,"With the Eagles all but out of wide receivers late last season, they turned to 2018 sixth-round pick Scott in desperation. The undersized Louisiana Tech product delivered the goods. Scott put up 245 yards and five touchdowns on 61 carries and caught 24 of 27 targets for 204 yards. Scott played a grand total of 35 career offensive snaps prior to handling 146 during the Eagles' final four regular-season games. Only six backs scored more fantasy points during that span. The Eagles' offense will be healthier, and Scott will work behind Miles Sanders, but the Darren Sproles doppelganger figures to see enough runs to flirt with PPR flex production."
40,Nyheim Hines,Colts,RB,52,199,3.8,2,44,320,0,117.9,53,218,4.1,2,52,422,2,140.54,"Marlon Mack and Jonathan Taylor are the Colts' primary ball carriers, but it's Hines who has been handling passing situations. The 2018 fourth-round pick ranked eighth among backs in routes and seventh in targets with Andrew Luck in 2018 before falling to 27th and 16th, respectively, with Jacoby Brissett last season. Hines' receiving efficiency has been a problem (career 5.3 YPT and nine drops), and his 190-pound frame hasn't allowed him much volume or efficiency as a rusher (3.7 YPC on 137 career carries) or in the scoring department (six career TDs). Perhaps Philip Rivers will inject some life into Hines' fantasy stock, but the third-year back will need to significantly improve his game. He's worth only a late flier in PPR."
41,Damien Williams,Chiefs,RB,111,498,4.5,5,30,213,2,141.1,88,397,4.5,5,30,240,2,134.81,"Williams is back in Kansas City this season, but he'll have a lot more competition this time around after the Chiefs selected Clyde Edwards-Helaire with 32nd-overall pick of April's draft. The rookie is sure to limit Williams' fantasy upside but flex value remains a possibility. Consider: Williams has played at least 49% of the snaps in 16 games since joining the team in 2018. He has handled 13.3 carries and 5.3 targets per game during those weeks, which has allowed him 278 touches for 1,534 yards and 21 TDs. His numbers add up to 340.4 fantasy points, which would've ranked second to only Christian McCaffrey last season. Williams' size edge on Edwards-Helaire could lead to primary goal-line work, and 10-12 touches per game in this elite offense is nothing to sneeze at. Consider Williams in the middle rounds."
42,Duke Johnson,Texans,RB,83,410,4.9,2,44,410,3,154,68,314,4.6,1,44,387,2,134.59,"After spending 2019 as a passing-down complement to Carlos Hyde, Johnson is expected to play a similar role behind newcomer David Johnson this season. Johnson has yet to convince a coaching staff that he's worthy of a three-down role, as he has managed only 76 carries per season since entering the league in 2015. Although his targets have dipped the past two seasons, Johnson has been in the upper two thirds in yards per target all five seasons, and his 4.1 OTD (expected TD total) paced the position last season. Johnson's role severely limits his ceiling, and it's possible that he will lose targets to David Johnson this season. Consider the 26-year-old a weak flex in PPR leagues."
43,Latavius Murray,Saints,RB,146,637,4.4,5,34,235,1,157.2,132,547,4.1,5,26,192,1,133.49,"Murray is now 30 years old, but he remains in a good spot as Alvin Kamara's backup in a high-scoring Saints' offense. In his first season in New Orleans, Murray was held to 98 touches and the 49th-most fantasy points among backs during the 14 weeks Kamara was also active. However, with Kamara sidelined during Weeks 7 and 8, Murray stepped in and racked up 307 yards and four touchdowns on 60 touches. He was fantasy's top-scoring RB in that span. Murray lacks stand-alone value but is obviously an elite handcuff."
45,Justin Jackson,Chargers,RB,29,200,6.9,0,9,22,0,31.2,135,572,4.3,4,27,201,1,131.17,"Jackson is positioned for a run at a breakout 2020 season following Melvin Gordon's departure to Denver. Jackson will compete with rookie Joshua Kelley for No. 2 duties behind Austin Ekeler, with the latter unlikely to handle a workhorse role at 5-foot-9, 195 pounds. That positions Jackson with an opportunity for roughly 10-12 touches per game and perhaps primary goal-line duties. The 2018 seventh-round pick has been effective on 79 career carries, averaging 5.1 YPC (2.2 YAC). Jackson is worth a late flier in deep leagues but can be ignored if he falls behind Kelley."
46,Marlon Mack,Colts,RB,247,1091,4.4,8,14,82,0,181.3,154,676,4.4,5,16,126,1,130.97,"Mack is back with the Colts after ranking top-10 in carries, rushing yards and rushing TDs last season. However, he can be considered a lock for a reduced role after the team drafted Jonathan Taylor in the second round. That's a problem for a player who, despite reaching 900 rushing yards and eight touchdowns each of the past two seasons, has still yet to post a top-20 fantasy campaign. There are two primary culprits: injuries (he has missed at least two games in each of his three NFL seasons) and a minimal workload as a receiver (31 total catches during the past two seasons). Mack may catch a few extra passes with Philip Rivers in town, but Taylor and Nyheim Hines will be major factors. Mack benefits from the Colts' elite offensive line but may struggle for flex value in his new situation."
47,Tevin Coleman,49ers,RB,137,544,4,6,21,180,1,135.4,131,541,4.1,5,18,178,1,128.17,"Coleman opened the 2019 season as the 49ers' lead back but was all but replaced atop the depth chart by Raheem Mostert down the stretch and during the playoffs. Coleman returns to San Francisco in 2020 but simply can't be counted on as a reliable starter. On one hand, it's a good situation, as 49ers' backs led the NFL in rushing yards (2,051) and touchdowns (19) last season. On the other hand, Jimmy Garoppolo didn't target the position much (20th in the category), and job security is almost nonexistent in Kyle Shanahan's offense. Coleman will compete with Mostert and Jerick McKinnon for snaps. Consider him a bench option with handcuff appeal."
48,Sony Michel,Patriots,RB,247,912,3.7,7,12,94,0,152.6,184,722,3.9,5,11,92,0,126.62,"Michel remains New England's lead rusher as he enters his third professional season, but this offense certainly has a different feel to it with Tom Brady out of the picture. Thus far, Michel has essentially been limited to a situational, between-the-tackles hammer role. In 29 regular-season games, he has played 37% of the snaps and handled 54% of the carries (15.7 per game) and 3% of the targets (1.1 per game). That usage allowed Michel only two top-20 fantasy weeks in 2019. Perhaps New England will lean more on its 2018 first-round pick with Brady gone, but with his nonexistent role as a receiver and with James White, Rex Burkhead and Damien Harris in the fold, Michel should be viewed as only a flex option in non-PPR leagues."
49,Matt Breida,Dolphins,RB,123,623,5.1,1,19,120,1,103.3,109,499,4.6,1,35,277,1,126.44,"Breida was traded to the Dolphins and is expected to share backfield duties with Jordan Howard this season. The former 49ers' rotational back has at least 105 carries in each of his three NFL seasons and has ranked no lower than 13th in yards per carry in each of those campaigns. His 5.0 YPC in that span ranks third among 42 backs with 300-plus carries. Breida hasn't done much after contact (1.5 YAC) or as a receiver (91 career targets) but has shown to be an explosive playmaker, which makes the 190-pound back a terrific complement to the 230-pound Howard. Consider Breida a bench option with a shot at flex production."
51,Jamaal Williams,Packers,RB,107,460,4.3,1,39,253,5,146.3,85,351,4.1,2,33,253,2,113.56,"Williams returns as a backup rusher and passing-down contributor in Green Bay, though he'll face more competition for work this season, with second-round pick AJ Dillon in the fold. In 13 full games last season, Williams was well behind Aaron Jones in carries (179 to 107) but was basically even in targets (46 to 45). Jones was a top-five fantasy RB in those 13 weeks, though it might surprise you to know that Williams was 24th. There are plenty of fantasy points to be had in the Packers' backfield, but Williams, who has yet to post a top-30 fantasy campaign, might not even be the team's lead back if Jones gets injured. He's barely worthy of a draft pick in most formats."
